episode,episode_rewards,waiting_times,queue_lengths,explore_counts,exploit_counts,epsilon_values,curriculum_difficulties,vehicle_counts,losses
203,211.19000000000017,1299.1780104712043,10.602094240837696,179,12,0.9613028800008401,0.0037469237832874194,26,15.983931683120927
204,219.83999999999995,1375.7014925373135,10.417910447761194,195,6,0.9611038900008444,0.003784113865932048,9,16.45880125737309
205,199.62000000000006,1545.054054054054,11.6,176,9,0.9609207400008484,0.0038214876033057853,17,17.531289260451857
206,193.63000000000008,1608.404255319149,9.877659574468085,179,9,0.9607346200008524,0.0038590449954086317,8,17.105669733691723
207,214.90000000000003,1001.3756613756614,8.873015873015873,179,10,0.9605475100008565,0.0038967860422405875,18,17.99177684228887
208,204.02999999999986,1848.0710659898477,10.949238578680204,188,9,0.9603524800008607,0.003934710743801653,22,15.879607902414303
209,227.22000000000006,1581.5833333333333,11.302083333333334,185,7,0.9601624000008648,0.003972819100091828,34,17.476586160560448
210,204.66000000000003,1731.5891891891893,11.556756756756757,177,8,0.9599792500008688,0.004011111111111112,10,16.007782137716138
211,198.91999999999996,1093.463157894737,8.8,180,10,0.9597911500008729,0.004049586776859503,12,18.34901230711686
212,200.81,1236.5925925925926,10.158730158730158,182,7,0.959604040000877,0.004088246097337006,17,21.226320021997683
213,197.9600000000001,2081.2085561497324,12.320855614973262,183,4,0.959418910000881,0.004127089072543617,15,19.016093758019533
214,185.74000000000007,2189.6304347826085,13.13586956521739,177,7,0.9592367500008849,0.004166115702479338,19,16.34103929915506
215,240.10000000000005,2512.777777777778,14.030303030303031,187,11,0.9590407300008892,0.004205325987144169,18,18.525779978795484
216,208.87,2136.8695652173915,12.61413043478261,177,7,0.9588585700008931,0.0042447199265381085,32,18.121057544065557
217,210.12000000000015,1836.8051282051283,11.384615384615385,189,6,0.9586655200008973,0.004284297520661158,23,19.64066109229357
218,216.97999999999988,858.4020618556701,7.664948453608248,185,9,0.9584734600009015,0.004324058769513314,6,19.124690313929136
219,200.10000000000005,2028.4705882352941,12.716577540106952,180,7,0.9582883300009055,0.004364003673094582,21,17.421375320556965
220,178.88999999999996,1575.3867403314916,11.32596685082873,172,9,0.9581091400009094,0.004404132231404958,12,18.697595416840926
221,237.64000000000004,931.743961352657,8.555555555555555,199,8,0.9579042100009139,0.0044444444444444444,18,21.37332273969328
222,202.52999999999992,1579.8031914893618,11.627659574468085,183,5,0.9577180900009179,0.00448494031221304,25,20.6791308477838
223,206.79000000000005,1698.3316062176166,10.953367875647668,187,6,0.957527020000922,0.004525619834710744,20,19.809904885415587
224,225.92999999999995,2480.7905759162304,14.811518324607329,179,12,0.9573379300009262,0.004566483011937558,38,19.00094605428386
225,197.23000000000022,1712.4619565217392,11.46195652173913,180,4,0.9571557700009301,0.004607529843893481,15,24.349452271409657
226,224.24000000000015,2146.131707317073,13.082926829268292,195,10,0.9569528200009345,0.004648760330578512,23,18.709680503752175
227,227.21,1737.5343915343915,11.941798941798941,182,7,0.9567657100009386,0.004690174471992653,31,20.03760718794727
228,172.29000000000002,3700.508875739645,17.875739644970412,159,10,0.9565984000009422,0.0047317722681359045,23,21.568437797783396
