queue_ns,queue_ew,queue_sn,queue_ws
0.528,1.0,1.96,67.382
1.228,1.0,2.04,76.018
2.028,1.0,2.14,84.455
0.0,0.5,2.18,88.577
0.0,0.3,2.28,93.215
0.173,0.8,2.36,103.257
0.56,0.9,2.44,111.878
2.122,1.5,2.68,131.087
3.065,1.9,2.82,140.023
0.0,0.3,2.84,145.928
0.0,0.1,2.86,151.865
0.0,0.0,2.88,155.918
0.02,0.2,3.0,166.16
0.532,1.0,3.2,189.487
0.0,0.1,3.28,194.888
0.0,0.2,3.36,202.647
0.0,0.3,3.56,228.725
0.085,0.4,3.64,235.945
0.0,0.1,3.72,240.258
0.072,0.4,3.8,256.552
0.823,0.9,3.98,285.815
1.785,1.3,4.18,305.983
4.007,1.8,4.42,338.22
5.425,2.2,4.64,357.042
7.488,2.2,4.84,381.123
9.138,2.2,4.96,399.517
11.552,2.6,5.1,426.362
15.745,3.6,5.32,465.18
21.128,4.2,5.5,505.607
23.162,4.2,5.58,519.918
29.848,5.3,5.78,562.587
34.283,5.4,6.0,587.11
38.697,5.8,6.08,611.775
47.747,6.4,6.36,658.29
51.623,6.8,6.44,677.512
57.052,7.1,6.62,703.587
62.207,7.2,6.74,728.08
66.717,7.5,6.82,749.515
71.052,7.8,6.86,769.465
79.438,8.2,7.06,806.492
0.0,1.7,7.26,852.413
0.432,1.7,7.32,871.27
2.207,1.9,7.52,910.172
3.852,2.1,7.68,942.575
5.145,2.4,7.78,966.398
0.0,0.4,7.88,990.542
0.937,1.2,8.2,1054.355
1.38,1.4,8.32,1070.93
2.188,1.7,8.44,1096.76
4.785,2.1,8.6,1160.765
6.565,2.4,8.7,1196.9
8.708,2.8,8.84,1236.428
13.047,3.5,9.0,1303.183
14.547,3.5,9.0,1323.433
19.797,3.5,9.0,1390.933
25.047,3.5,9.0,1458.433
30.297,3.5,9.0,1525.933
35.547,3.5,9.0,1593.433
40.797,3.5,9.0,1660.933
46.047,3.5,9.0,1728.433
51.297,3.5,9.0,1795.933
0.0,0.5,9.0,1824.433
0.442,0.3,9.0,1895.683
0.892,0.3,9.0,1963.183
1.342,0.3,9.0,2030.683
1.792,0.3,9.0,2098.183
2.242,0.3,9.0,2165.683
2.692,0.3,9.0,2233.183
3.142,0.3,9.0,2300.683
3.592,0.3,9.0,2368.183
0.0,0.0,9.0,2379.433
0.0,0.0,9.0,2446.933
0.0,0.0,9.0,2518.183
0.0,0.0,9.0,2585.683
0.0,0.0,9.0,2653.183
0.0,0.0,9.0,2720.683
0.0,0.0,9.0,2788.183
0.0,0.0,9.0,2855.683
0.0,0.0,9.0,2923.183
0.0,0.0,9.0,2990.683
0.0,0.0,9.0,3058.183
0.0,0.0,9.0,3129.433
0.0,0.0,9.0,3200.683
0.0,0.0,9.0,3268.183
0.0,0.0,9.0,3335.683
0.0,0.0,9.0,3406.933
0.0,0.0,9.0,3474.433
0.0,0.0,9.0,3545.683
0.0,0.0,9.0,3613.183
0.0,0.0,9.0,3680.683
0.0,0.0,9.0,3748.183
0.0,0.0,9.0,3815.683
0.0,0.0,9.0,3883.183
0.0,0.0,9.0,3954.433
0.0,0.0,0.0,0.0
0.032,0.5,0.08,0.127
0.842,1.3,0.34,1.883
2.845,1.5,0.52,5.122
4.205,1.7,0.64,7.818
6.13,1.9,0.76,11.73
9.355,3.2,1.06,18.63
14.078,3.9,1.28,27.558
0.0,0.5,1.32,31.992
0.0,0.1,1.36,32.993
0.0,0.2,1.54,43.972
0.008,0.2,1.54,46.41
0.497,0.6,1.76,58.917
0.0,0.0,1.82,63.438
0.41,0.6,2.12,79.157
0.793,0.7,2.16,87.33
0.0,0.3,2.28,93.047
0.182,0.8,2.36,103.473
0.565,0.9,2.44,111.9
0.0,0.4,2.5,115.38
0.0,0.1,2.72,134.952
0.0,0.2,2.74,136.318
0.0,0.3,2.86,149.258
0.04,0.2,2.88,156.413
0.335,0.6,3.06,172.75
0.0,0.3,3.12,177.132
0.692,1.0,3.36,202.647
0.0,0.1,3.42,208.018
0.0,0.3,3.5,216.69
0.0,0.4,3.52,223.41
0.0,0.5,3.54,228.125
0.852,1.0,3.8,255.908
0.0,0.2,3.84,261.308
0.24,0.7,3.96,282.487
0.0,0.1,4.02,289.13
0.118,0.5,4.2,308.758
1.033,0.9,4.42,341.145
1.913,1.2,4.7,364.405
