2025-03-18 00:17:59,833 - Episode 2: Reward=313.6500000000001, Explores=24, Exploits=483, Epsilon=0.0100
2025-03-18 00:21:20,521 - Episode 1: Reward=212.69999999999985, Explores=239, Exploits=266, Epsilon=0.1091
2025-03-18 00:21:22,950 - Episode 2: Reward=551.3500000000003, Explores=19, Exploits=487, Epsilon=0.0100
2025-03-18 00:21:25,497 - Episode 3: Reward=505.70000000000033, Explores=3, Exploits=503, Epsilon=0.0100
2025-03-18 00:21:27,974 - Episode 4: Reward=556.2, Explores=4, Exploits=505, Epsilon=0.0100
2025-03-18 00:21:30,545 - Episode 5: Reward=584.8000000000002, Explores=3, Exploits=500, Epsilon=0.0100
2025-03-18 00:21:32,963 - Episode 6: Reward=553.5499999999998, Explores=7, Exploits=497, Epsilon=0.0100
2025-03-18 00:21:35,402 - Episode 7: Reward=558.7, Explores=6, Exploits=492, Epsilon=0.0100
2025-03-18 00:21:37,910 - Episode 8: Reward=528.3499999999997, Explores=4, Exploits=500, Epsilon=0.0100
2025-03-18 00:21:40,396 - Episode 9: Reward=598.1499999999995, Explores=6, Exploits=498, Epsilon=0.0100
2025-03-18 00:21:42,964 - Episode 10: Reward=591.9999999999998, Explores=8, Exploits=510, Epsilon=0.0100
2025-03-18 00:21:45,458 - Episode 11: Reward=555.3000000000003, Explores=6, Exploits=502, Epsilon=0.0100
2025-03-18 00:21:48,093 - Episode 12: Reward=533.7500000000003, Explores=3, Exploits=509, Epsilon=0.0100
2025-03-18 00:21:50,949 - Episode 13: Reward=571.8500000000005, Explores=5, Exploits=508, Epsilon=0.0100
2025-03-18 00:21:53,863 - Episode 14: Reward=565.6500000000002, Explores=5, Exploits=504, Epsilon=0.0100
2025-03-18 00:21:57,307 - Episode 15: Reward=570.2999999999998, Explores=11, Exploits=502, Epsilon=0.0100
2025-03-18 00:22:00,651 - Episode 16: Reward=565.3999999999997, Explores=6, Exploits=503, Epsilon=0.0100
2025-03-18 00:22:04,338 - Episode 17: Reward=566.3, Explores=4, Exploits=509, Epsilon=0.0100
2025-03-18 00:22:07,945 - Episode 18: Reward=553.3500000000001, Explores=7, Exploits=503, Epsilon=0.0100
2025-03-18 00:22:11,928 - Episode 19: Reward=593.7000000000008, Explores=3, Exploits=516, Epsilon=0.0100
2025-03-18 00:22:15,537 - Episode 20: Reward=563.1500000000002, Explores=5, Exploits=502, Epsilon=0.0100
2025-03-18 00:22:19,150 - Episode 21: Reward=-11434.35, Explores=7, Exploits=517, Epsilon=0.0100
2025-03-18 00:22:22,609 - Episode 22: Reward=585.8, Explores=4, Exploits=515, Epsilon=0.0100
2025-03-18 00:22:26,282 - Episode 23: Reward=555.1000000000004, Explores=10, Exploits=503, Epsilon=0.0100
2025-03-18 00:22:29,796 - Episode 24: Reward=557.4500000000005, Explores=5, Exploits=513, Epsilon=0.0100
2025-03-18 00:22:33,433 - Episode 25: Reward=565.8999999999996, Explores=7, Exploits=502, Epsilon=0.0100
2025-03-18 00:22:36,924 - Episode 26: Reward=603.1, Explores=7, Exploits=517, Epsilon=0.0100
2025-03-18 00:22:40,520 - Episode 27: Reward=-22095.2, Explores=7, Exploits=524, Epsilon=0.0100
2025-03-18 00:22:44,225 - Episode 28: Reward=612.6999999999997, Explores=7, Exploits=508, Epsilon=0.0100
2025-03-18 00:22:47,856 - Episode 29: Reward=-14003.250000000002, Explores=8, Exploits=521, Epsilon=0.0100
2025-03-18 00:22:51,493 - Episode 30: Reward=564.3500000000006, Explores=7, Exploits=500, Epsilon=0.0100
2025-03-18 00:22:55,406 - Episode 31: Reward=567.7000000000003, Explores=6, Exploits=503, Epsilon=0.0100
2025-03-18 00:22:58,914 - Episode 32: Reward=583.7000000000006, Explores=5, Exploits=502, Epsilon=0.0100
2025-03-18 00:23:02,179 - Episode 33: Reward=538.4500000000002, Explores=8, Exploits=488, Epsilon=0.0100
2025-03-18 00:23:06,486 - Episode 34: Reward=571.2999999999995, Explores=7, Exploits=506, Epsilon=0.0100
