2025-04-09 21:34:50,736 - INFO - No saved model found, training from scratch.
2025-04-09 21:43:24,399 - INFO - Episode 140/3000, Difficulty: 0.00, Reward: -0.9, Loss: 0.0006, Epsilon: 0.967, Explore: 203, Exploit: 10
2025-04-09 21:43:28,830 - INFO - Episode 141/3000, Difficulty: 0.00, Reward: 0.0, Loss: 0.0008, Epsilon: 0.967, Explore: 213, Exploit: 2
2025-04-09 21:43:33,184 - INFO - Episode 142/3000, Difficulty: 0.01, Reward: -1.4, Loss: 0.0007, Epsilon: 0.967, Explore: 206, Exploit: 8
2025-04-09 21:43:37,522 - INFO - Episode 143/3000, Difficulty: 0.01, Reward: -0.1, Loss: 0.0007, Epsilon: 0.967, Explore: 210, Exploit: 4
2025-04-09 21:43:41,871 - INFO - Episode 144/3000, Difficulty: 0.01, Reward: -0.2, Loss: 0.0007, Epsilon: 0.966, Explore: 202, Exploit: 12
2025-04-09 21:43:46,217 - INFO - Episode 145/3000, Difficulty: 0.01, Reward: -0.2, Loss: 0.0007, Epsilon: 0.966, Explore: 205, Exploit: 8
2025-04-09 21:43:50,593 - INFO - Episode 146/3000, Difficulty: 0.01, Reward: -0.2, Loss: 0.0007, Epsilon: 0.966, Explore: 198, Exploit: 15
2025-04-09 21:43:54,972 - INFO - Episode 147/3000, Difficulty: 0.01, Reward: -0.1, Loss: 0.0009, Epsilon: 0.966, Explore: 204, Exploit: 10
2025-04-09 21:43:59,326 - INFO - Episode 148/3000, Difficulty: 0.01, Reward: -0.2, Loss: 0.0007, Epsilon: 0.965, Explore: 200, Exploit: 14
2025-04-09 21:44:03,716 - INFO - Episode 149/3000, Difficulty: 0.01, Reward: -0.1, Loss: 0.0008, Epsilon: 0.965, Explore: 209, Exploit: 5
2025-04-09 21:44:08,018 - INFO - Episode 150/3000, Difficulty: 0.01, Reward: -0.1, Loss: 0.0007, Epsilon: 0.965, Explore: 207, Exploit: 7
2025-04-09 21:44:08,021 - INFO - Model saved at episode 150
2025-04-09 21:44:12,367 - INFO - Episode 151/3000, Difficulty: 0.01, Reward: -0.5, Loss: 0.0007, Epsilon: 0.965, Explore: 203, Exploit: 10
2025-04-09 21:44:16,744 - INFO - Episode 152/3000, Difficulty: 0.01, Reward: -0.1, Loss: 0.0007, Epsilon: 0.964, Explore: 202, Exploit: 12
2025-04-09 21:44:21,188 - INFO - Episode 153/3000, Difficulty: 0.01, Reward: -0.1, Loss: 0.0008, Epsilon: 0.964, Explore: 201, Exploit: 11
2025-04-09 21:44:25,565 - INFO - Episode 154/3000, Difficulty: 0.01, Reward: -0.1, Loss: 0.0007, Epsilon: 0.964, Explore: 206, Exploit: 7
2025-04-09 21:44:29,927 - INFO - Episode 155/3000, Difficulty: 0.01, Reward: -1.6, Loss: 0.0007, Epsilon: 0.964, Explore: 208, Exploit: 5
2025-04-09 21:44:34,351 - INFO - Episode 156/3000, Difficulty: 0.01, Reward: -0.4, Loss: 0.0007, Epsilon: 0.963, Explore: 206, Exploit: 7
2025-04-09 21:44:38,791 - INFO - Episode 157/3000, Difficulty: 0.01, Reward: -0.3, Loss: 0.0008, Epsilon: 0.963, Explore: 204, Exploit: 10
2025-04-09 21:44:43,238 - INFO - Episode 158/3000, Difficulty: 0.01, Reward: -0.1, Loss: 0.0008, Epsilon: 0.963, Explore: 205, Exploit: 9
2025-04-09 21:44:47,692 - INFO - Episode 159/3000, Difficulty: 0.01, Reward: -1.0, Loss: 0.0008, Epsilon: 0.963, Explore: 206, Exploit: 8
2025-04-09 21:44:52,114 - INFO - Episode 160/3000, Difficulty: 0.01, Reward: -0.3, Loss: 0.0007, Epsilon: 0.963, Explore: 203, Exploit: 12
2025-04-09 21:44:56,588 - INFO - Episode 161/3000, Difficulty: 0.01, Reward: -0.1, Loss: 0.0007, Epsilon: 0.962, Explore: 209, Exploit: 4
